epoch,train_jaccard_loss,train_iou,val_jaccard_loss,val_iou
0,0.8733544945716858,0.01959967170841992,0.8487259447574615,0.0928512629121542
1,0.7671063478503909,0.3157331243689572,0.6665502607822418,0.5794721513986588
2,0.6694444630827223,0.6186107588665828,0.5909622609615327,0.7133661150932312
3,0.5814624407461714,0.7172372149569649,0.5197011709213256,0.7551333963871002
4,0.4986116673265186,0.7609459991965976,0.45868389010429383,0.7417885363101959
5,0.4247852350984301,0.7854105532169342,0.40231032371521,0.7605351030826569
6,0.36568633147648405,0.7964216896465847,0.34641947150230407,0.7880362868309021
7,0.3203743121453694,0.8126880271094186,0.292969936132431,0.8629849255084991
8,0.28779405568327227,0.8357818488563808,0.2787944436073303,0.8573583364486694
9,0.2573968597820827,0.8595194177968161,0.226216721534729,0.8825852870941162
10,0.23360878016267506,0.8658484603677479,0.21691305041313172,0.869183385372162
11,0.21612385766846798,0.8728013698543821,0.1772444427013397,0.8897652208805085
12,0.20132205741746093,0.8755779287644795,0.16765308976173401,0.897425365447998
13,0.18785480516297481,0.8827537511076244,0.16279723644256594,0.8851793706417084
14,0.1764850744179317,0.8861494553940638,0.14722176194190978,0.8931250154972077
15,0.1700703650712967,0.8866399356297083,0.13369140028953552,0.9031655848026275
16,0.16080938705376216,0.8907066626208168,0.13108810186386108,0.9023372590541839
17,0.15369730974946702,0.8951250932046344,0.1297612547874451,0.9040764927864074
18,0.15122762535299575,0.8951886785881858,0.13082929253578185,0.8877608895301818
19,0.14643689777169908,0.8978003902094706,0.12155399918556213,0.9042266488075257
20,0.14072661527565547,0.9006005014692036,0.12014481425285342,0.9030717968940735
21,0.136040170277868,0.9036757754428045,0.1172753930091858,0.8987769782543182
22,0.1314720639160701,0.9062866164105279,0.11176595091819763,0.9093464732170106
23,0.1270477282149451,0.9104892036744527,0.11192116141319275,0.9053447246551514
24,0.12605532790933333,0.9095568103449687,0.10558256506919862,0.914778858423233
25,0.1242096381528037,0.9105755771909441,0.10647212862968447,0.9180567979812622
26,0.12521816364356447,0.906518463577543,0.10935664772987365,0.908550924062729
27,0.11957855735506331,0.9113790690898895,0.11512914299964908,0.905679714679718
28,0.11835069315774101,0.9118165054491587,0.09749739766120911,0.9191452145576476
29,0.11513900969709669,0.9159201149429594,0.102932471036911,0.9114081144332886
30,0.11356780358723231,0.9157012466873442,0.10936997532844543,0.908569049835205
31,0.11622996415410723,0.9132795908621378,0.10786019563674927,0.9026766598224639
32,0.11294989713600702,0.9147781750985555,0.10597647428512574,0.9066775083541871
33,0.1111941742045539,0.9149546516793116,0.09858879446983339,0.9195536971092223
34,0.11180863848754338,0.9126030611140389,0.0979252815246582,0.9152742803096771
35,0.10777376379285539,0.9174018544810159,0.09558361768722533,0.9200756907463075
36,0.10501204218183248,0.9201283625194004,0.09372543096542359,0.9215481400489807
37,0.10566800407000952,0.9191337398120335,0.10076624751091004,0.912796527147293
38,0.10284530477864404,0.9223976944174086,0.09113178253173827,0.9246807634830474
39,0.10143305574144634,0.9239439091512137,0.10314021706581115,0.9049508988857269
40,0.10197702475956508,0.9216773978301457,0.09312256574630738,0.9202897906303406
41,0.09989535595689499,0.9242254197597501,0.09253872036933901,0.9215347349643707
42,0.09941924044064111,0.9251815038067953,0.09131315350532533,0.9231040358543396
43,0.09908182067530497,0.9247785082885197,0.09541741013526917,0.9226044058799744
44,0.09781375527381897,0.9266809906278337,0.09689112901687623,0.9158831059932708
45,0.0974092696394239,0.9269213186843054,0.0892840564250946,0.925167429447174
46,0.10353136914116995,0.9206366560288837,0.1101321339607239,0.9026535272598266
47,0.11095536606652395,0.9086844963686809,0.1265963077545166,0.8813334941864014
48,0.10370604906763352,0.9164681966815676,0.09678027629852295,0.915030425786972
49,0.10100071557930537,0.9185620035443988,0.10408875346183777,0.9122301459312439
50,0.09698460570403508,0.9252839450325285,0.09045448899269104,0.9227784276008606
51,0.09589185885020665,0.925731999533517,0.0929538130760193,0.9206279695034026
52,0.09481819186891828,0.9261996916362218,0.09614226222038269,0.916394478082657
53,0.09544877069337025,0.9262626660721645,0.10062560439109802,0.9135928571224212
54,0.09389091602393561,0.9268240119729723,0.09242639541625977,0.9192714989185333
55,0.09121343706335337,0.9299396425485611,0.0876425325870514,0.9269164741039276
56,0.09254388085433414,0.9294416883162087,0.08940429091453553,0.9216427803039552
57,0.09167799353599548,0.9299065193959645,0.08517755270004274,0.9303474724292755
58,0.09058437177113125,0.9303103578942163,0.08704378008842467,0.924626898765564
59,0.08939782210758754,0.9322031438350677,0.08506128191947937,0.9331949770450593
60,0.08812447318008967,0.9331276203904835,0.08855633735656739,0.9253443777561188
61,0.08688580776963915,0.934314442532403,0.09203175902366639,0.9182359516620636
62,0.08860962731497628,0.9315327299492699,0.08676009178161621,0.9277104258537293
63,0.0881608809743609,0.9322462997266223,0.09201440215110777,0.9223636627197267
64,0.08750917868954794,0.933258301445416,0.08248235583305359,0.9306615829467774
65,0.08770179961408887,0.9325695186853408,0.08645811080932618,0.9323632717132568
66,0.0871238900082452,0.9337649984019144,0.08375166654586792,0.9295529127120972
67,0.08684816317898886,0.9337457865476607,0.08815675377845765,0.924980902671814
68,0.08545388281345369,0.9350118913820812,0.08856753110885622,0.9253669798374176
69,0.08802920154162815,0.9305770524910517,0.08406437039375306,0.9278543949127198
70,0.0866025984287262,0.9328838352646148,0.0862191319465637,0.9257819592952728
71,0.08666186460426877,0.9328754608120235,0.09163792729377747,0.9217372655868531
72,0.08671474456787107,0.9330132284334729,0.08676919341087341,0.9250588834285736
73,0.08562690445355006,0.9336375849587577,0.08853676319122314,0.92185537815094
74,0.08527343826634544,0.9336119762488774,0.08370419144630431,0.9311594963073732
75,0.08478154880659922,0.9334189210619245,0.09210506677627564,0.9209086894989014
76,0.08449161265577589,0.9344049543142318,0.08803880810737612,0.9253369748592377
77,0.08385785349777768,0.9345714726618359,0.08429858088493347,0.9287330806255341
78,0.0822043035711561,0.9358312359877996,0.07710750699043273,0.9354286253452302
79,0.08066733820097788,0.9364609058414187,0.08885846138000487,0.926158207654953
80,0.07959999995572224,0.9357151027236666,0.07849089503288269,0.9383239269256592
81,0.0757449631180082,0.9449522431407655,0.0763731598854065,0.9401031970977782
82,0.0720823130437306,0.9450730276959283,0.07825624942779542,0.9333758234977723
83,0.07057118841579983,0.9449184068611689,0.0741930603981018,0.9365217566490173
84,0.06940987919058118,0.9455224680049078,0.07129426002502441,0.9376281201839446
85,0.06662053934165411,0.9479994241680421,0.06974995732307433,0.940170007944107
86,0.07296991986887796,0.9390477197510855,0.08994283080101013,0.9134882509708404
87,0.07304981350898743,0.9383022572313037,0.08550815582275391,0.9198898434638977
88,0.07059418729373387,0.9425588697195052,0.07466062307357788,0.9292072653770447
89,0.07093781232833861,0.9411438001053675,0.16594133377075193,0.8400181710720062
